,name,gross_profit_rate201501,gross_profit_rate201502,gross_profit_rate201503,gross_profit_rate201504,gross_profit_rate201601,gross_profit_rate201602,gross_profit_rate201603,gross_profit_rate201604,gross_profit_rate201701,gross_profit_rate201702,gross_profit_rate201703,gross_profit_rate201704,gross_profit_rate201801,gross_profit_rate201802,gross_profit_rate201803,gross_profit_rate201804,gross_profit_rate201901,gross_profit_rate201902,gross_profit_rate201903,gross_profit_rate201904,gross_profit_rate202001,gross_profit_rate202002,gross_profit_rate202003
447,金螳螂,16.808,17.868,17.7394,17.8075,17.1658,15.8613,15.6709,16.5451,15.7424,16.6537,16.6093,16.8027,16.0202,16.4085,19.3722,19.5091,18.2698,18.9247,18.5789,18.388,16.3966,16.9487,17.0184
449,万邦德,1.7842,2.2216,1.9681,1.5803,2.0977,2.5616,2.3546,1.9037,1.22,1.3664,1.4723,1.5467,2.764,3.2241,3.403,3.6433,3.8387,3.7691,3.8692,4.5608,8.9878,8.4093,8.2252
450,孚日股份,20.7372,21.6612,21.9048,22.2802,23.9659,23.1095,22.5527,23.4301,27.0492,25.3906,24.2946,21.7982,20.0377,19.3084,20.56,19.9422,22.0119,21.4225,20.7556,19.644,18.6174,20.1223,20.6027
451,海鸥住工,19.4753,21.153,20.9861,20.8121,19.7613,19.4966,21.8765,22.3679,20.2311,21.1403,22.3427,21.3283,20.8966,19.3994,18.9575,19.6998,22.4687,23.6214,23.9949,24.3432,17.6321,23.506,24.2616
452,万丰奥威,24.5859,24.9081,25.4694,24.0002,22.8852,25.2828,24.9904,23.7112,21.9208,23.0226,21.8345,20.1725,20.0646,21.6909,21.2175,20.7509,21.7028,22.4885,21.6059,20.2264,20.8773,22.6435,22.0771
453,*ST东洋,23.0064,28.4334,27.0281,24.9036,15.9827,28.6118,26.7704,24.6388,19.3274,28.9807,25.7928,26.2265,22.9806,33.4449,31.7583,23.6853,19.3774,28.5438,26.5901,12.5522,14.38,15.0828,13.4812
454,鲁阳节能,31.0086,30.4246,29.883000000000006,29.4151,27.9921,29.6014,31.7164,32.8025,29.492,34.1126,35.9475,37.4539,40.1938,43.0792,42.2449,42.1058,40.5451,39.906,40.3216,40.1361,39.9391,39.6304,40.6792
455,金智科技,28.5688,31.7101,31.8486,31.6315,29.8555,33.9097,34.0908,27.0887,23.4572,22.7485,24.0619,23.7846,28.4474,26.7508,28.9217,27.8996,31.6996,28.2758,26.9323,25.9779,26.2235,27.6023,27.0216
456,江苏国泰,15.0856,14.9646,13.5576,13.4172,15.0249,15.3817,14.7162,11.8854,10.6292,11.3497,11.2758,11.3911,7.6688,9.2378,10.4272,12.5326,10.9176,11.8835,11.8991,11.8579,13.319,14.1585,15.4639
457,中泰化学,24.2659,22.5771,23.181,23.0637,26.8773,23.9375,24.7971,26.3587,26.6439,21.2372,20.9092,17.8468,15.2604,13.6834,12.9288,11.1032,8.4689,7.6674,6.795,6.9025,5.3352,3.6512,3.9809
458,国脉科技,68.4202,66.3337,65.859,57.6076,38.5741,31.0484,28.4567,27.505,41.3236,37.2361,31.4721,32.8386,38.1049,39.1293,37.8341,37.4766,58.0749,63.6921,61.2364,55.2524,59.4524,59.3691,64.8679
459,青岛金王,34.4952,27.4421,23.3804,21.5172,15.3102,15.3215,19.1512,20.5706,16.0492,16.6353,18.7757,21.3135,22.0215,21.8053,21.6657,23.9773,21.7189,17.3937,15.5432,15.2813,10.8261,10.0693,10.6277
460,生意宝,87.3665,86.8228,76.457,64.3973,57.4494,43.9959,39.71,29.3811,36.0778,36.424,34.5783,32.8449,47.192,40.2023,35.7799,34.3089,35.6832,35.0765,33.539,32.6516,32.4603,33.8641,29.1971
461,南岭民爆,41.1851,40.182,39.1816,32.4671,20.5952,24.8494,24.2314,24.7841,17.4239,20.5685,22.3691,25.7085,27.4543,27.4345,27.4976,27.9443,21.5412,25.3506,25.2532,27.826,23.2907,28.4503,30.5305
465,山河智能,26.0542,28.6345,28.3736,28.2481,32.9014,32.45,29.4468,33.3934,40.6814,35.1315,34.2632,32.4461,34.4641,33.5874,32.6351,30.8211,30.633000000000006,30.3017,30.042,30.0923,27.2036,28.5631,28.0279
466,浔兴股份,27.7991,31.7967,30.8901,30.632,29.9561,35.1872,33.8902,33.0422,27.6719,30.3525,29.5811,34.5741,39.6422,35.9827,35.2686,35.6071,36.1579,37.3238,37.0619,37.4016,38.1908,40.1137,40.5343
467,海翔药业,48.3706,49.7486,48.0369,46.2294,43.3814,44.515,44.8179,43.78,44.6988,45.0747,43.8499,42.9433,41.8505,41.7589,43.3333,44.3854,48.6277,49.9139,50.7344,50.2566,48.2337,46.8919,46.3074
468,天康生物,20.7245,20.8555,20.1707,21.8244,24.3748,22.8468,24.6794,24.5242,22.8574,21.3826,22.5596,23.3969,20.7686,19.025,20.9685,21.0429,18.2005,19.3135,20.7225,25.0923,31.0861,32.0796,31.2233
470,广东鸿图,21.404,22.1539,22.4163,22.0289,24.2145,23.1984,23.9328,23.6365,25.0523,24.2648,24.9378,24.6974,25.0244,25.3494,25.6938,25.3118,25.2627,25.2471,25.6831,25.3996,20.9868,21.1635,22.1743
474,广博股份,20.2789,20.528,20.6553,20.4351,20.5129,21.2509,21.7566,20.9544,19.6421,18.4738,18.993,18.9979,17.6699,18.3527,16.956,19.2232,21.5196,17.4682,16.1189,16.1584,13.9367,15.3449,17.0375
475,恒宝股份,32.7153,34.7287,34.8971,36.0292,34.9134,34.7871,35.7252,34.7987,34.1029,32.9583,32.1522,27.9276,23.1037,23.1714,23.3408,20.532,25.3424,27.1699,25.8593,23.8402,20.4168,18.2805,20.5004
476,莱宝高科,2.8814,2.4516,1.9623,3.4907,13.9629,14.9187,14.61,14.8543,14.9809,14.5011,13.8894,14.4812,12.6085,11.3273,11.7673,12.6736,12.3042,12.9964,14.2823,15.5393,13.7765,15.526,15.4892
477,沃华医药,75.6324,76.4392,71.3991,72.3554,73.7081,74.7958,75.3236,74.6649,78.5997,77.9545,78.1761,78.4351,79.6317,80.012,79.5101,77.1099,77.2547,76.7397,76.6066,76.5774,77.6135,77.9733,78.4537
478,沧州明珠,21.3403,22.8207,23.2679,23.9449,36.6278,35.339,33.7084,32.8576,32.1167,29.49,29.3953,27.9607,18.5931,18.6097,17.8111,16.5555,13.0685,16.824,16.9925,16.0763,12.0734,18.2499,21.911
479,兴化股份,11.0741,7.9135,6.7819,6.5399,4.5304,8.4197,6.7914,13.1744,22.9586,20.7812,18.5763,18.3837,22.475,21.727,22.7356,22.6994,16.805,17.3433,14.9512,14.2795,7.6514,13.8565,13.9978
480,威海广泰,34.8975,33.4768,34.364000000000004,36.0297,37.2483,35.3778,35.4398,38.5726,34.526,35.5336,34.6661,35.78,35.9599,34.2181,33.0809,32.4728,27.8016,28.5261,32.7057,30.6327,34.3042,33.5096,34.1706
482,中国海诚,9.6337,10.5257,10.6775,10.5159,9.9066,9.5755,9.4084,10.6114,9.2755,9.807,10.4208,11.2493,10.9929,10.8439,10.2208,11.4979,12.0682,11.2324,12.1429,8.562999999999999,10.7581,5.3926,7.6802
483,东港股份,38.8015,38.8208,39.8835,39.9217,38.153,38.1342,41.1377,40.359,36.044,39.9016,40.0507,39.6661,39.0613,38.8692,39.8442,38.948,39.3833,39.8948,41.1346,41.2363,39.563,39.9773,41.0448
484,紫鑫药业,71.553,71.8657,73.1239,66.8092,67.5754,67.3823,70.7139,73.8996,75.7449,72.5932,75.711,79.6888,77.9772,71.0418,67.3731,64.8392,72.9211,79.1557,76.4608,76.501,56.1063,57.4337,58.8654
485,韵达股份,23.9908,24.9879,24.8472,25.0756,25.929,27.9152,28.3457,31.1561,28.6693,31.1987,30.8148,28.9805,26.0135,29.242,28.7227,28.0179,15.5886,15.1367,14.3797,13.1491,12.0666,10.2475,9.9881
